Geo Point,Geo Shape,Asset Number,Site Name,Site Purpose
"54.5674895, -1.1333063","{""coordinates"": [[-1.1333063, 54.5674895]], ""type"": ""MultiPoint""}",SITE-00232012,LACKENBY,BULK SUPPLY POINT
"54.4625385, -1.2742281","{""coordinates"": [[-1.2742281, 54.4625385]], ""type"": ""MultiPoint""}",SITE-00232301,RUDBY,PRIMARY SITE
"54.608982, -1.17248","{""coordinates"": [[-1.17248, 54.608982]], ""type"": ""MultiPoint""}",SITE-00229403,TEES INDUSTRIAL,PRIMARY SITE
"53.4008678, -1.3958113","{""coordinates"": [[-1.3958113, 53.4008678]], ""type"": ""MultiPoint""}",SITE-00273659,TINSLEY PARK 275/33KV 2598,PRIMARY SITE
"53.425843, 0.0886664","{""coordinates"": [[0.0886664, 53.425843]], ""type"": ""MultiPoint""}",SITE-00266548,FEN FARM WINDFARM 49000,PRIMARY SITE
"53.7331045, -1.5377423","{""coordinates"": [[-1.5377423, 53.7331045]], ""type"": ""MultiPoint""}",SITE-00271326,SCAMPSTON DRIVE 52409,BULK SUPPLY POINT
"53.4293076, -1.4167392","{""coordinates"": [[-1.4167392, 53.4293076]], ""type"": ""MultiPoint""}",SITE-00266077,NEW DROPPINGWELL ROAD 53900,PRIMARY SITE
"53.6594433, -0.7977177","{""coordinates"": [[-0.7977177, 53.6594433]], ""type"": ""MultiPoint""}",SITE-00308529,TWIN RIVERS WINDFARM 56506,PRIMARY SITE
"54.9723948, -1.7174436","{""coordinates"": [[-1.7174436, 54.9723948]], ""type"": ""MultiPoint""}",SITE-00238106,NEWBURN HAUGH,PRIMARY SITE
"53.7740412, -0.0958416","{""coordinates"": [[-0.0958416, 53.7740412]], ""type"": ""MultiPoint""}",SITE-00266183,BURTON PIDSEA 5620,PRIMARY SITE
"53.4878984, -1.6046066","{""coordinates"": [[-1.6046066, 53.4878984]], ""type"": ""MultiPoint""}",SITE-00290871,STOCKSBRIDGE G S P 4015,GRID SUPPLY POINT
"53.4081275, -1.4071175","{""coordinates"": [[-1.4071175, 53.4081275]], ""type"": ""MultiPoint""}",SITE-00273367,TINSLEY WIRE 33/11KV 3001,PRIMARY SITE
"53.9090665, -2.1648974","{""coordinates"": [[-2.1648974, 53.9090665]], ""type"": ""MultiPoint""}",SITE-00268246,SALTERFORTH 1694,PRIMARY SITE
"54.7051466, -1.5547246","{""coordinates"": [[-1.5547246, 54.7051466]], ""type"": ""MultiPoint""}",SITE-00228637,SPENNYMOOR 132KV,BULK SUPPLY POINT
"53.9113565, -0.7379288","{""coordinates"": [[-0.7379288, 53.9113565]], ""type"": ""MultiPoint""}",SITE-00271856,BURNBY/ BELTHORPE LANE 10546,EHV PM SITE
"53.8048633, -1.8977387","{""coordinates"": [[-1.8977387, 53.8048633]], ""type"": ""MultiPoint""}",SITE-00272424,DENHOLME 6,PRIMARY SITE
"53.4996191, -0.3210822","{""coordinates"": [[-0.3210822, 53.4996191]], ""type"": ""MultiPoint""}",SITE-00266656,CAISTOR 39,PRIMARY SITE
"53.5016532, -1.1151497","{""coordinates"": [[-1.1151497, 53.5016532]], ""type"": ""MultiPoint""}",SITE-00308212,BALBY CARR GENERATION 57430,PRIMARY SITE
"53.7466123, -0.2773552","{""coordinates"": [[-0.2773552, 53.7466123]], ""type"": ""MultiPoint""}",SITE-00308208,NORTHERN GATEWAY BIOMASS 56035,PRIMARY SITE
"53.7658431, -0.6968592","{""coordinates"": [[-0.6968592, 53.7658431]], ""type"": ""MultiPoint""}",SITE-00273372,NEWPORT 7307,PRIMARY SITE
"53.6319929, -0.6911065","{""coordinates"": [[-0.6911065, 53.6319929]], ""type"": ""MultiPoint""}",SITE-00266083,GRANGE WIND FARM 55640,PRIMARY SITE
"53.5225158, -0.1481375","{""coordinates"": [[-0.1481375, 53.5225158]], ""type"": ""MultiPoint""}",SITE-00318426,LACEBY SOLAR 56270,PRIMARY SITE
"53.4157541, -1.4140234","{""coordinates"": [[-1.4140234, 53.4157541]], ""type"": ""MultiPoint""}",SITE-00290874,WINCOBANK GSP 5394,GRID SUPPLY POINT
"53.3819109, -1.4589682","{""coordinates"": [[-1.4589682, 53.3819109]], ""type"": ""MultiPoint""}",SITE-00271707,PARK HILL 2146,PRIMARY SITE
"53.6358412, -0.6275184","{""coordinates"": [[-0.6275184, 53.6358412]], ""type"": ""MultiPoint""}",SITE-00266266,ROXBY 46608,PRIMARY SITE
"54.6009764, -1.1870953","{""coordinates"": [[-1.1870953, 54.6009764]], ""type"": ""MultiPoint""}",SITE-00305250,NORTH BANK,PRIMARY SITE
"53.9491621, -1.044279","{""coordinates"": [[-1.044279, 53.9491621]], ""type"": ""MultiPoint""}",SITE-00232840,YORK UNIVERSITY,PRIMARY SITE
"54.9763792, -1.538279","{""coordinates"": [[-1.538279, 54.9763792]], ""type"": ""MultiPoint""}",SITE-00229089,WALKER,PRIMARY SITE
"55.000711, -1.6951319","{""coordinates"": [[-1.6951319, 55.000711]], ""type"": ""MultiPoint""}",SITE-00229090,WESTERHOPE,PRIMARY SITE
"55.0013641, -1.480439","{""coordinates"": [[-1.480439, 55.0013641]], ""type"": ""MultiPoint""}",SITE-00228772,FLATWORTH CENTRAL,PRIMARY SITE
"55.002934, -1.5123998","{""coordinates"": [[-1.5123998, 55.002934]], ""type"": ""MultiPoint""}",SITE-00228777,WILLINGTON,PRIMARY SITE
"55.0115236, -1.5576741","{""coordinates"": [[-1.5576741, 55.0115236]], ""type"": ""MultiPoint""}",SITE-00229352,BENTON RAIL,PRIMARY SITE
"54.8497841, -1.7319502","{""coordinates"": [[-1.7319502, 54.8497841]], ""type"": ""MultiPoint""}",SITE-00232584,ANNFIELD,BULK SUPPLY POINT
"54.8859591, -1.7019278","{""coordinates"": [[-1.7019278, 54.8859591]], ""type"": ""MultiPoint""}",SITE-00232592,TANFIELD,PRIMARY SITE
"54.9724303, -1.6614816","{""coordinates"": [[-1.6614816, 54.9724303]], ""type"": ""MultiPoint""}",SITE-00229079,BENWELL,PRIMARY SITE
"54.9797342, -1.5647069","{""coordinates"": [[-1.5647069, 54.9797342]], ""type"": ""MultiPoint""}",SITE-00229083,FOSSWAY,PRIMARY SITE
"55.0025786, -1.653316","{""coordinates"": [[-1.653316, 55.0025786]], ""type"": ""MultiPoint""}",SITE-00229084,KENTON,PRIMARY SITE
"55.0071962, -1.5911761","{""coordinates"": [[-1.5911761, 55.0071962]], ""type"": ""MultiPoint""}",SITE-00229085,LONGBENTON,PRIMARY SITE
"54.8730521, -1.39354","{""coordinates"": [[-1.39354, 54.8730521]], ""type"": ""MultiPoint""}",SITE-00241160,TUNSTALL,PRIMARY SITE
"54.9833471, -1.4865241","{""coordinates"": [[-1.4865241, 54.9833471]], ""type"": ""MultiPoint""}",SITE-00236154,ORMONDE STREET SW,PRIMARY SITE
"54.9438689, -1.5812127","{""coordinates"": [[-1.5812127, 54.9438689]], ""type"": ""MultiPoint""}",SITE-00233199,CARR HILL,PRIMARY SITE
"54.9603793, -1.6008086","{""coordinates"": [[-1.6008086, 54.9603793]], ""type"": ""MultiPoint""}",SITE-00233200,GATESHEAD CENTRAL,PRIMARY SITE
"54.9270465, -1.6181544","{""coordinates"": [[-1.6181544, 54.9270465]], ""type"": ""MultiPoint""}",SITE-00233203,TEAM VALLEY,PRIMARY SITE
"54.9088136, -1.5949507","{""coordinates"": [[-1.5949507, 54.9088136]], ""type"": ""MultiPoint""}",SITE-00248663,RAVENSWORTH,BULK SUPPLY POINT
"54.9964037, -1.4193562","{""coordinates"": [[-1.4193562, 54.9964037]], ""type"": ""MultiPoint""}",SITE-00233924,WESTOE,PRIMARY SITE
"54.9522794, -1.6223135","{""coordinates"": [[-1.6223135, 54.9522794]], ""type"": ""MultiPoint""}",SITE-00233196,BENSHAM,PRIMARY SITE
"55.0156591, -1.4747163","{""coordinates"": [[-1.4747163, 55.0156591]], ""type"": ""MultiPoint""}",SITE-00228692,BILLY MILL,PRIMARY SITE
"54.9657301, -1.5844042","{""coordinates"": [[-1.5844042, 54.9657301]], ""type"": ""MultiPoint""}",SITE-00244561,GATESHEAD EAST,PRIMARY SITE
"54.883968, -1.5404118","{""coordinates"": [[-1.5404118, 54.883968]], ""type"": ""MultiPoint""}",SITE-00241150,HARRATON,PRIMARY SITE
"54.9276618, -1.3964338","{""coordinates"": [[-1.3964338, 54.9276618]], ""type"": ""MultiPoint""}",SITE-00241152,CARLEY HILL,PRIMARY SITE
"54.9513097, -1.9587039","{""coordinates"": [[-1.9587039, 54.9513097]], ""type"": ""MultiPoint""}",SITE-00233929,RIDING MILL PUMPS,PRIMARY SITE
"54.8961465, -1.4025931","{""coordinates"": [[-1.4025931, 54.8961465]], ""type"": ""MultiPoint""}",SITE-00241155,MOUNT ROAD,PRIMARY SITE
"54.9178075, -1.468957","{""coordinates"": [[-1.468957, 54.9178075]], ""type"": ""MultiPoint""}",SITE-00241156,NISSAN,PRIMARY SITE
"53.9091137, -1.6893208","{""coordinates"": [[-1.6893208, 53.9091137]], ""type"": ""MultiPoint""}",SITE-00266915,NORTH AVENUE 5189,PRIMARY SITE
"53.6882453, -0.4226892","{""coordinates"": [[-0.4226892, 53.6882453]], ""type"": ""MultiPoint""}",SITE-00266923,PASTURE ROAD SOUTH 35,PRIMARY SITE
"53.7748835, -1.7273114","{""coordinates"": [[-1.7273114, 53.7748835]], ""type"": ""MultiPoint""}",SITE-00266191,DUDLEY HILL 100,PRIMARY SITE
"53.8493538, -1.5362588","{""coordinates"": [[-1.5362588, 53.8493538]], ""type"": ""MultiPoint""}",SITE-00266671,FIR TREE LANE 996,PRIMARY SITE
"53.6994578, -1.7667405","{""coordinates"": [[-1.7667405, 53.6994578]], ""type"": ""MultiPoint""}",SITE-00266673,BRIGHOUSE 3,PRIMARY SITE
"53.8198558, -1.7637366","{""coordinates"": [[-1.7637366, 53.8198558]], ""type"": ""MultiPoint""}",SITE-00266887,GAISBY LANE 1113,PRIMARY SITE
"53.8382833, -1.9389648","{""coordinates"": [[-1.9389648, 53.8382833]], ""type"": ""MultiPoint""}",SITE-00266546,HAWORTH 1690,PRIMARY SITE
"53.6740225, -1.4232227","{""coordinates"": [[-1.4232227, 53.6740225]], ""type"": ""MultiPoint""}",SITE-00266686,SHARLSTON 6059,PRIMARY SITE
"53.858292, -1.9133183","{""coordinates"": [[-1.9133183, 53.858292]], ""type"": ""MultiPoint""}",SITE-00266786,SOUTH STREET 1696,PRIMARY SITE
"53.4164665, -1.0637815","{""coordinates"": [[-1.0637815, 53.4164665]], ""type"": ""MultiPoint""}",SITE-00266735,HARWORTH 1286,PRIMARY SITE
"53.8336964, -1.8117092","{""coordinates"": [[-1.8117092, 53.8336964]], ""type"": ""MultiPoint""}",SITE-00266746,NABWOOD 1693,PRIMARY SITE
"53.5655607, -0.1091979","{""coordinates"": [[-0.1091979, 53.5655607]], ""type"": ""MultiPoint""}",SITE-00268249,YARBOROUGH ROAD 3,BULK SUPPLY POINT
"53.5728788, -1.5187602","{""coordinates"": [[-1.5187602, 53.5728788]], ""type"": ""MultiPoint""}",SITE-00266189,BARUGH 66/11KV 22490,PRIMARY SITE
"53.5347531, -0.0999324","{""coordinates"": [[-0.0999324, 53.5347531]], ""type"": ""MultiPoint""}",SITE-00268050,SCARTHO 10,PRIMARY SITE
"53.5753306, -0.6226747","{""coordinates"": [[-0.6226747, 53.5753306]], ""type"": ""MultiPoint""}",SITE-00268145,SCUNTHORPE SOUTH 25,BULK SUPPLY POINT
"53.7106395, -1.1424888","{""coordinates"": [[-1.1424888, 53.7106395]], ""type"": ""MultiPoint""}",SITE-00268160,HUT GREEN 8495,PRIMARY SITE
"54.5816666, -1.1491903","{""coordinates"": [[-1.1491903, 54.5816666]], ""type"": ""MultiPoint""}",SITE-00232016,GRANGETOWN,PRIMARY SITE
"53.9767255, -1.07523","{""coordinates"": [[-1.07523, 53.9767255]], ""type"": ""MultiPoint""}",SITE-00229168,HAXBY ROAD,PRIMARY SITE
"54.8680758, -1.4860466","{""coordinates"": [[-1.4860466, 54.8680758]], ""type"": ""MultiPoint""}",SITE-00232586,HERRINGTON BURN,PRIMARY SITE
"53.9245542, -0.9490809","{""coordinates"": [[-0.9490809, 53.9245542]], ""type"": ""MultiPoint""}",SITE-00232502,ELVINGTON,PRIMARY SITE
"53.9798419, -1.10608","{""coordinates"": [[-1.10608, 53.9798419]], ""type"": ""MultiPoint""}",SITE-00232837,RAWCLIFFE LANE,PRIMARY SITE
"53.9567517, -1.0230793","{""coordinates"": [[-1.0230793, 53.9567517]], ""type"": ""MultiPoint""}",SITE-00233222,OSBALDWICK,BULK SUPPLY POINT
"53.5482067, -1.4493628","{""coordinates"": [[-1.4493628, 53.5482067]], ""type"": ""MultiPoint""}",SITE-00266693,HUNNINGLEY 22491,BULK SUPPLY POINT
"53.6151917, -0.1923391","{""coordinates"": [[-0.1923391, 53.6151917]], ""type"": ""MultiPoint""}",SITE-00266689,IMMINGHAM 5,BULK SUPPLY POINT
"53.5437236, -1.2988206","{""coordinates"": [[-1.2988206, 53.5437236]], ""type"": ""MultiPoint""}",SITE-00266697,HICKLETON 22497,PRIMARY SITE
"53.9243071, -2.1833583","{""coordinates"": [[-2.1833583, 53.9243071]], ""type"": ""MultiPoint""}",SITE-00272309,BARNOLDSWICK 1683,PRIMARY SITE
"53.7672233, -0.481213","{""coordinates"": [[-0.481213, 53.7672233]], ""type"": ""MultiPoint""}",SITE-00269124,WESTFIELD ROAD LSI 33KV 6337,EHV PM SITE
"53.4782169, -1.4705313","{""coordinates"": [[-1.4705313, 53.4782169]], ""type"": ""MultiPoint""}",SITE-00272304,TANKERSLEY PARK 1143,PRIMARY SITE
"53.4006247, -1.4443049","{""coordinates"": [[-1.4443049, 53.4006247]], ""type"": ""MultiPoint""}",SITE-00291755,PITSMOOR GSP 3/4 S/BOARD 3986,GRID SUPPLY POINT
"53.8529423, -1.8409313","{""coordinates"": [[-1.8409313, 53.8529423]], ""type"": ""MultiPoint""}",SITE-00266797,BINGLEY 6131,BULK SUPPLY POINT
"53.7450723, -0.3313149","{""coordinates"": [[-0.3313149, 53.7450723]], ""type"": ""MultiPoint""}",SITE-00268048,ALFRED GELDER STREET 5923,PRIMARY SITE
"53.5111925, -1.3302381","{""coordinates"": [[-1.3302381, 53.5111925]], ""type"": ""MultiPoint""}",SITE-00268056,DEARNE ROAD 22903,PRIMARY SITE
"54.1400449, -0.3738502","{""coordinates"": [[-0.3738502, 54.1400449]], ""type"": ""MultiPoint""}",SITE-00271790,WEST BURTON 66KV ABSD 7773,EHV PM SITE
"53.7353179, -0.4173375","{""coordinates"": [[-0.4173375, 53.7353179]], ""type"": ""MultiPoint""}",SITE-00266644,ELGAR ROAD 5622,PRIMARY SITE
"55.5161637, -1.7777797","{""coordinates"": [[-1.7777797, 55.5161637]], ""type"": ""MultiPoint""}",SITE-00244920,WANDYLAW  WINDFARM,PRIMARY SITE
"53.4236184, -1.1700639","{""coordinates"": [[-1.1700639, 53.4236184]], ""type"": ""MultiPoint""}",SITE-00266364,MALTBY COLLIERY 66/11KV 6220,PRIMARY SITE
"53.6564318, -1.7779318","{""coordinates"": [[-1.7779318, 53.6564318]], ""type"": ""MultiPoint""}",SITE-00266374,EMERALD STREET 43320,PRIMARY SITE
"53.6160432, -1.7637286","{""coordinates"": [[-1.7637286, 53.6160432]], ""type"": ""MultiPoint""}",SITE-00310571,BEST LANE 58349,EHV PM SITE
"53.4199973, -1.4002141","{""coordinates"": [[-1.4002141, 53.4199973]], ""type"": ""MultiPoint""}",SITE-00266074,ALSING ROAD 52732,PRIMARY SITE
"53.9748827, -1.1313953","{""coordinates"": [[-1.1313953, 53.9748827]], ""type"": ""MultiPoint""}",SITE-00229165,POPPLETON,BULK SUPPLY POINT
"54.0334125, -1.3818612","{""coordinates"": [[-1.3818612, 54.0334125]], ""type"": ""MultiPoint""}",SITE-00318908,ALLERTON WASTE,PRIMARY SITE
"53.7170328, -1.7642292","{""coordinates"": [[-1.7642292, 53.7170328]], ""type"": ""MultiPoint""}",SITE-00271587,CLOUGH 33KV LSI 27,EHV PM SITE
"53.3747965, -1.4787019","{""coordinates"": [[-1.4787019, 53.3747965]], ""type"": ""MultiPoint""}",SITE-00291751,SHEFFIELD CITY GSP 3407,GRID SUPPLY POINT
"53.9993284, -0.4170524","{""coordinates"": [[-0.4170524, 53.9993284]], ""type"": ""MultiPoint""}",SITE-00271696,DRIFFIELD 6103,BULK SUPPLY POINT
"53.5656847, -0.1514729","{""coordinates"": [[-0.1514729, 53.5656847]], ""type"": ""MultiPoint""}",SITE-00291758,GRIMSBY WEST 1 58,GRID SUPPLY POINT
"53.4037192, -1.4862388","{""coordinates"": [[-1.4862388, 53.4037192]], ""type"": ""MultiPoint""}",SITE-00290684,NEEPSEND 5399,GRID SUPPLY POINT
"53.4010131, -1.4429441","{""coordinates"": [[-1.4429441, 53.4010131]], ""type"": ""MultiPoint""}",SITE-00291753,PITSMOOR GSP 1/2 S/BOARD 3986,GRID SUPPLY POINT
"53.766664, -1.7492896","{""coordinates"": [[-1.7492896, 53.766664]], ""type"": ""MultiPoint""}",SITE-00271426,STAYGATE 1523,BULK SUPPLY POINT
"53.4996638, -1.1251211","{""coordinates"": [[-1.1251211, 53.4996638]], ""type"": ""MultiPoint""}",SITE-00310049,WATER VOLE WAY GENERATION 58382,PRIMARY SITE
"54.5962101, -1.2597439","{""coordinates"": [[-1.2597439, 54.5962101]], ""type"": ""MultiPoint""}",SITE-00238272,HAVERTON INCINERATOR,PRIMARY SITE
"53.9023491, -1.6442548","{""coordinates"": [[-1.6442548, 53.9023491]], ""type"": ""MultiPoint""}",SITE-00266881,POOL 5190,PRIMARY SITE
"53.5655854, -1.4434318","{""coordinates"": [[-1.4434318, 53.5655854]], ""type"": ""MultiPoint""}",SITE-00274447,BURTON ROAD NORTH 22351,EHV PM SITE
"54.7727706, -1.3588784","{""coordinates"": [[-1.3588784, 54.7727706]], ""type"": ""MultiPoint""}",SITE-00232589,PETERLEE INDUSTRIAL,PRIMARY SITE
"53.6331836, -1.5937994","{""coordinates"": [[-1.5937994, 53.6331836]], ""type"": ""MultiPoint""}",SITE-00272433,DENBY GRANGE 6048,PRIMARY SITE
"53.7809369, -1.2029426","{""coordinates"": [[-1.2029426, 53.7809369]], ""type"": ""MultiPoint""}",SITE-00273368,GASCOIGNE WOOD 10316,PRIMARY SITE
"53.7451733, -0.0671823","{""coordinates"": [[-0.0671823, 53.7451733]], ""type"": ""MultiPoint""}",SITE-00272438,ROOS WINDFARM 52196,PRIMARY SITE
"53.5470912, -1.5380743","{""coordinates"": [[-1.5380743, 53.5470912]], ""type"": ""MultiPoint""}",SITE-00268236,ELMHIRST LANE 572,PRIMARY SITE
"54.5554581, -1.560779","{""coordinates"": [[-1.560779, 54.5554581]], ""type"": ""MultiPoint""}",SITE-00229536,DARLINGTON NORTH,BULK SUPPLY POINT
"54.5297635, -1.588517","{""coordinates"": [[-1.588517, 54.5297635]], ""type"": ""MultiPoint""}",SITE-00229537,DARLINGTON WEST,PRIMARY SITE
"54.5926033, -1.5799799","{""coordinates"": [[-1.5799799, 54.5926033]], ""type"": ""MultiPoint""}",SITE-00229540,HEIGHINGTON,PRIMARY SITE
"54.6100855, -1.5848447","{""coordinates"": [[-1.5848447, 54.6100855]], ""type"": ""MultiPoint""}",SITE-00229541,NEWTON AYCLIFFE SOUTH,PRIMARY SITE
"54.5463152, -1.5589839","{""coordinates"": [[-1.5589839, 54.5463152]], ""type"": ""MultiPoint""}",SITE-00229542,RISE CARR,PRIMARY SITE
"54.6417637, -1.6805873","{""coordinates"": [[-1.6805873, 54.6417637]], ""type"": ""MultiPoint""}",SITE-00229538,FYLANDS BRIDGE,PRIMARY SITE
"54.8062195, -1.39791","{""coordinates"": [[-1.39791, 54.8062195]], ""type"": ""MultiPoint""}",SITE-00232585,HAWTHORN PIT,PRIMARY SITE
"54.5261749, -1.5404478","{""coordinates"": [[-1.5404478, 54.5261749]], ""type"": ""MultiPoint""}",SITE-00233809,DARLINGTON CENTRAL,BULK SUPPLY POINT
"54.783404, -1.5375783","{""coordinates"": [[-1.5375783, 54.783404]], ""type"": ""MultiPoint""}",SITE-00228639,BELMONT,PRIMARY SITE
"54.6396797, -1.3169185","{""coordinates"": [[-1.3169185, 54.6396797]], ""type"": ""MultiPoint""}",SITE-00250174,WYNYARD,PRIMARY SITE
"54.696872, -1.5907369","{""coordinates"": [[-1.5907369, 54.696872]], ""type"": ""MultiPoint""}",SITE-00230141,LOW SPENNYMOOR,PRIMARY SITE
"54.7454576, -1.611525","{""coordinates"": [[-1.611525, 54.7454576]], ""type"": ""MultiPoint""}",SITE-00230142,MEADOWFIELD,PRIMARY SITE
"54.8155706, -1.3585987","{""coordinates"": [[-1.3585987, 54.8155706]], ""type"": ""MultiPoint""}",SITE-00232591,STONEY CUT,PRIMARY SITE
"54.9593955, -1.6599647","{""coordinates"": [[-1.6599647, 54.9593955]], ""type"": ""MultiPoint""}",SITE-00232660,DUNSTON,BULK SUPPLY POINT
"53.9562213, -1.9990045","{""coordinates"": [[-1.9990045, 53.9562213]], ""type"": ""MultiPoint""}",SITE-00270165,SHORTBANK ROAD 1794,EHV PM SITE
"53.6350907, -1.8012179","{""coordinates"": [[-1.8012179, 53.6350907]], ""type"": ""MultiPoint""}",SITE-00273387,YEW GREEN ROAD 25,PRIMARY SITE
"53.5030121, -1.3299157","{""coordinates"": [[-1.3299157, 53.5030121]], ""type"": ""MultiPoint""}",SITE-00266922,WATH UPON DEARNE 22502,PRIMARY SITE
"53.7573431, -0.3927952","{""coordinates"": [[-0.3927952, 53.7573431]], ""type"": ""MultiPoint""}",SITE-00273385,COUNTY ROAD NORTH 5619,PRIMARY SITE
"53.7251722, -0.5742895","{""coordinates"": [[-0.5742895, 53.7251722]], ""type"": ""MultiPoint""}",SITE-00272498,SKILLINGS LANE 8028,PRIMARY SITE
"53.9577845, -1.9083801","{""coordinates"": [[-1.9083801, 53.9577845]], ""type"": ""MultiPoint""}",SITE-00273290,CHELKER RESERVOIR 5165,PRIMARY SITE
"53.7215415, -1.8913174","{""coordinates"": [[-1.8913174, 53.7215415]], ""type"": ""MultiPoint""}",SITE-00273291,GIBRALTAR ROAD 8,PRIMARY SITE
"53.7148593, -1.6608598","{""coordinates"": [[-1.6608598, 53.7148593]], ""type"": ""MultiPoint""}",SITE-00272229,WHITE LEE 6044,PRIMARY SITE
"54.0469577, -2.028894","{""coordinates"": [[-2.028894, 54.0469577]], ""type"": ""MultiPoint""}",SITE-00273276,CRACOE 1596,PRIMARY SITE
"53.749068, -1.8953345","{""coordinates"": [[-1.8953345, 53.749068]], ""type"": ""MultiPoint""}",SITE-00272303,FURNESS AVENUE 7,PRIMARY SITE
"53.8527804, -1.7028032","{""coordinates"": [[-1.7028032, 53.8527804]], ""type"": ""MultiPoint""}",SITE-00269961,WARM LANE 5166,EHV PM SITE
"53.7210671, -0.5320552","{""coordinates"": [[-0.5320552, 53.7210671]], ""type"": ""MultiPoint""}",SITE-00272434,GIBSON LANE 5624,PRIMARY SITE
"54.9774248, -1.518522","{""coordinates"": [[-1.518522, 54.9774248]], ""type"": ""MultiPoint""}",SITE-00232702,HEBBURN,PRIMARY SITE
"55.1343761, -1.5911252","{""coordinates"": [[-1.5911252, 55.1343761]], ""type"": ""MultiPoint""}",SITE-00233337,RESERVOIR,PRIMARY SITE
"54.3748748, -1.7291171","{""coordinates"": [[-1.7291171, 54.3748748]], ""type"": ""MultiPoint""}",SITE-00244016,CATTERICK CAMP,PRIMARY SITE
"53.8825747, -1.625447","{""coordinates"": [[-1.625447, 53.8825747]], ""type"": ""MultiPoint""}",SITE-00267104,BRAMHOPE 5207,PRIMARY SITE
"53.7785494, -0.2944235","{""coordinates"": [[-0.2944235, 53.7785494]], ""type"": ""MultiPoint""}",SITE-00267105,SALTSHOUSE ROAD 5634,PRIMARY SITE
"53.5649435, -1.2099882","{""coordinates"": [[-1.2099882, 53.5649435]], ""type"": ""MultiPoint""}",SITE-00266743,BRODSWORTH 45046,PRIMARY SITE
"53.4678928, -1.3168583","{""coordinates"": [[-1.3168583, 53.4678928]], ""type"": ""MultiPoint""}",SITE-00266731,KILNHURST 49642,PRIMARY SITE
"53.563086, -1.7578452","{""coordinates"": [[-1.7578452, 53.563086]], ""type"": ""MultiPoint""}",SITE-00266793,SCHOLES 20,PRIMARY SITE
"53.8259524, -1.0324537","{""coordinates"": [[-1.0324537, 53.8259524]], ""type"": ""MultiPoint""}",SITE-00266921,RICCALL 10309,PRIMARY SITE
"53.8380067, -1.7663326","{""coordinates"": [[-1.7663326, 53.8380067]], ""type"": ""MultiPoint""}",SITE-00266540,SHIPLEY 248,PRIMARY SITE
"53.7327576, -1.537521","{""coordinates"": [[-1.537521, 53.7327576]], ""type"": ""MultiPoint""}",SITE-00266665,STATION LANE 7081,BULK SUPPLY POINT
"53.3467259, -1.4433511","{""coordinates"": [[-1.4433511, 53.3467259]], ""type"": ""MultiPoint""}",SITE-00266668,GLEADLESS VALLEY 2161,PRIMARY SITE
"53.7254222, -1.3647049","{""coordinates"": [[-1.3647049, 53.7254222]], ""type"": ""MultiPoint""}",SITE-00266911,WELLINGTON STREET 6063,PRIMARY SITE
"53.614156, -1.903283","{""coordinates"": [[-1.903283, 53.614156]], ""type"": ""MultiPoint""}",SITE-00266742,SLAITHWAITE 22,PRIMARY SITE
"53.8009109, -1.562791","{""coordinates"": [[-1.562791, 53.8009109]], ""type"": ""MultiPoint""}",SITE-00266375,BURLEY STREET 8559,PRIMARY SITE
"53.8065534, -1.5897874","{""coordinates"": [[-1.5897874, 53.8065534]], ""type"": ""MultiPoint""}",SITE-00266694,KIRKSTALL C 132KV 6036,BULK SUPPLY POINT
"54.1506745, -0.7812981","{""coordinates"": [[-0.7812981, 54.1506745]], ""type"": ""MultiPoint""}",SITE-00229163,MALTON GRID,BULK SUPPLY POINT
"54.1420456, -0.7963711","{""coordinates"": [[-0.7963711, 54.1420456]], ""type"": ""MultiPoint""}",SITE-00232836,MALTON,PRIMARY SITE
"53.7401215, -0.3758022","{""coordinates"": [[-0.3758022, 53.7401215]], ""type"": ""MultiPoint""}",SITE-00272422,PLANGEO 651,PRIMARY SITE
"53.3906421, -1.4233995","{""coordinates"": [[-1.4233995, 53.3906421]], ""type"": ""MultiPoint""}",SITE-00271419,SHIRLAND LANE 3009,PRIMARY SITE
"53.6991151, -1.7675343","{""coordinates"": [[-1.7675343, 53.6991151]], ""type"": ""MultiPoint""}",SITE-00271423,BRIGHOUSE GSP 2,BULK SUPPLY POINT
"53.6979286, -0.0651408","{""coordinates"": [[-0.0651408, 53.6979286]], ""type"": ""MultiPoint""}",SITE-00271975,PATRINGTON ROAD EAST 8813,EHV PM SITE
"53.4054078, -0.7575426","{""coordinates"": [[-0.7575426, 53.4054078]], ""type"": ""MultiPoint""}",SITE-00272313,CORRINGHAM ROAD 37,PRIMARY SITE
"53.8137393, -1.541532","{""coordinates"": [[-1.541532, 53.8137393]], ""type"": ""MultiPoint""}",SITE-00266690,LEEDS NORTH 3348,BULK SUPPLY POINT
"53.7625714, -0.3447","{""coordinates"": [[-0.3447, 53.7625714]], ""type"": ""MultiPoint""}",SITE-00266695,SCULCOATES A 5627,BULK SUPPLY POINT
"53.7069844, -1.2099079","{""coordinates"": [[-1.2099079, 53.7069844]], ""type"": ""MultiPoint""}",SITE-00266778,BEAL 6071,PRIMARY SITE
"53.6824185, -1.5196541","{""coordinates"": [[-1.5196541, 53.6824185]], ""type"": ""MultiPoint""}",SITE-00266788,ALVERTHORPE ROAD 6051,PRIMARY SITE
