Geo Point,Geo Shape,Asset Number,Site Name,Site Purpose
"53.8349185, -0.4032553","{""coordinates"": [[-0.4032553, 53.8349185]], ""type"": ""MultiPoint""}",SITE-00272817,FIGHAM HULL ROAD 33KV LSI 6680,EHV PM SITE
"53.4048735, -1.2665855","{""coordinates"": [[-1.2665855, 53.4048735]], ""type"": ""MultiPoint""}",SITE-00291961,THURCROFT GSP 3147,GRID SUPPLY POINT
"53.7172543, -1.5205501","{""coordinates"": [[-1.5205501, 53.7172543]], ""type"": ""MultiPoint""}",SITE-00266167,KENMORE ROAD 7462,PRIMARY SITE
"53.8618773, -0.6611545","{""coordinates"": [[-0.6611545, 53.8618773]], ""type"": ""MultiPoint""}",SITE-00268156,SOUTHGATE 5444,PRIMARY SITE
"53.4260727, -1.4441003","{""coordinates"": [[-1.4441003, 53.4260727]], ""type"": ""MultiPoint""}",SITE-00271712,BELLHOUSE ROAD 3569,PRIMARY SITE
"53.4173899, -1.5030326","{""coordinates"": [[-1.5030326, 53.4173899]], ""type"": ""MultiPoint""}",SITE-00266783,CLAYWHEELS LANE 33/11KV 474,PRIMARY SITE
"53.796465, -1.602886","{""coordinates"": [[-1.602886, 53.796465]], ""type"": ""MultiPoint""}",SITE-00273279,WHINGATE 442,PRIMARY SITE
"53.6795106, -0.3616267","{""coordinates"": [[-0.3616267, 53.6795106]], ""type"": ""MultiPoint""}",SITE-00272227,BARROW 31,PRIMARY SITE
"53.3864657, -1.4500162","{""coordinates"": [[-1.4500162, 53.3864657]], ""type"": ""MultiPoint""}",SITE-00267005,BERNARD ROAD 47610,PRIMARY SITE
"53.3595118, -1.4761183","{""coordinates"": [[-1.4761183, 53.3595118]], ""type"": ""MultiPoint""}",SITE-00267021,SAXON ROAD 583,PRIMARY SITE
"53.6187145, -0.695255","{""coordinates"": [[-0.695255, 53.6187145]], ""type"": ""MultiPoint""}",SITE-00272430,FLIXBOROUGH 51,PRIMARY SITE
"53.7507, -1.8747803","{""coordinates"": [[-1.8747803, 53.7507]], ""type"": ""MultiPoint""}",SITE-00270736,HOLMFIELD 12,BULK SUPPLY POINT
"53.7650294, -1.4952583","{""coordinates"": [[-1.4952583, 53.7650294]], ""type"": ""MultiPoint""}",SITE-00271209,STOURTON 1334,PRIMARY SITE
"53.7317811, -1.5738519","{""coordinates"": [[-1.5738519, 53.7317811]], ""type"": ""MultiPoint""}",SITE-00271706,TINGLEY 4317,PRIMARY SITE
