circuit_section_id,circuit_id,line_situation,voltage,circuit_section_name_normalized,circuit_name_normalized,candidate_labels,candidate_bases,match_status,appendix_indices,appendix_node_labels,appendix_base_labels,gsp_candidates,resolution_notes
147907332_142091256,142091186.0,UNDERGROUND,66000.0,TEE TO TORONTO,SPENNYMOOR (TORONTO NO 3 TEED) - TORONTO TEED,"[""TORONTO"", ""SPENNYMOOR""]","[""TORONTO"", ""SPENNYMOOR""]",ambiguous,"[1655, 1656]",[],"[""TORONTO"", ""SPENNYMOOR""]","[""Spennymoor GSP""]",Multiple Appendix rows share the same base pair
147907349_142091139,142091202.0,UNDERGROUND,66000.0,TEE TO LOW SPENNYMOOR,SPENNYMOOR (LOW SPENNYMOOR) - LOW SPENNYMOOR TEED,"[""LOW SPENNYMOOR"", ""SPENNYMOOR""]","[""LOW SPENNYMOOR"", ""SPENNYMOOR""]",matched,[1658],"[""SPENNYMOOR 66KV"", ""LOW SPENNYMOOR TRANSFORMER 1 66KV""]","[""SPENNYMOOR"", ""LOW SPENNYMOOR""]","[""Spennymoor GSP""]",Unique base pair match
147907349_147950293,142091202.0,UNDERGROUND,66000.0,TEE TO 147950293,SPENNYMOOR (LOW SPENNYMOOR) - LOW SPENNYMOOR TEED,"[""SPENNYMOOR"", ""LOW SPENNYMOOR""]","[""SPENNYMOOR"", ""LOW SPENNYMOOR""]",matched,[1658],"[""SPENNYMOOR 66KV"", ""LOW SPENNYMOOR TRANSFORMER 1 66KV""]","[""SPENNYMOOR"", ""LOW SPENNYMOOR""]","[""Spennymoor GSP""]",Unique base pair match
147907389_147916547,142106239.0,OVERHEAD,132000.0,TEE TO 147916547,STELLA SOUTH (ANNFIELD 1 ISOLATOR 103) - ANNFIELD TEED,"[""STELLA SOUTH"", ""ANNFIELD""]","[""STELLA SOUTH"", ""ANNFIELD""]",matched,[561],"[""STELLA SOUTH 132KV"", ""ANNFIELD GRID TRANSFORMER 1 132KV""]","[""STELLA SOUTH"", ""ANNFIELD""]","[""Stella South""]",Unique base pair match
147907391_142087500,142106239.0,UNDERGROUND,132000.0,TEE TO ANNFIELD,STELLA SOUTH (ANNFIELD 1 ISOLATOR 103) - ANNFIELD TEED,"[""ANNFIELD"", ""STELLA SOUTH""]","[""ANNFIELD"", ""STELLA SOUTH""]",matched,[561],"[""STELLA SOUTH 132KV"", ""ANNFIELD GRID TRANSFORMER 1 132KV""]","[""STELLA SOUTH"", ""ANNFIELD""]","[""Stella South""]",Unique base pair match
147907392_147916574,142106251.0,OVERHEAD,132000.0,TEE TO 147916574,STELLA SOUTH (C'BURNS 2-ANNFIELD ISOL 703) - COALBURNS TEED,"[""STELLA SOUTH"", ""C'BURNS"", ""ANNFIELD"", ""COALBURNS""]","[""STELLA SOUTH"", ""C'BURNS"", ""ANNFIELD"", ""COALBURNS""]",ambiguous,"[561, 562]",[],"[""COALBURNS"", ""ANNFIELD"", ""STELLA SOUTH"", ""C'BURNS""]","[""Stella South""]",Multiple Appendix rows share the same base pair
147907393_147907394,142106251.0,OVERHEAD,132000.0,TEE TO 147907394,STELLA SOUTH (C'BURNS 2-ANNFIELD ISOL 703) - COALBURNS TEED,"[""STELLA SOUTH"", ""C'BURNS"", ""ANNFIELD"", ""COALBURNS""]","[""STELLA SOUTH"", ""C'BURNS"", ""ANNFIELD"", ""COALBURNS""]",ambiguous,"[561, 562]",[],"[""COALBURNS"", ""ANNFIELD"", ""STELLA SOUTH"", ""C'BURNS""]","[""Stella South""]",Multiple Appendix rows share the same base pair
147907393_175902360,142106251.0,OVERHEAD,132000.0,TEE TO COALBURNS,STELLA SOUTH (C'BURNS 2-ANNFIELD ISOL 703) - COALBURNS TEED,"[""COALBURNS"", ""STELLA SOUTH"", ""C'BURNS"", ""ANNFIELD""]","[""COALBURNS"", ""STELLA SOUTH"", ""C'BURNS"", ""ANNFIELD""]",ambiguous,"[561, 562]",[],"[""COALBURNS"", ""ANNFIELD"", ""STELLA SOUTH"", ""C'BURNS""]","[""Stella South""]",Multiple Appendix rows share the same base pair
147907394_142087499,142106251.0,UNDERGROUND,132000.0,TEE TO ANNFIELD,STELLA SOUTH (C'BURNS 2-ANNFIELD ISOL 703) - COALBURNS TEED,"[""ANNFIELD"", ""STELLA SOUTH"", ""C'BURNS"", ""COALBURNS""]","[""ANNFIELD"", ""STELLA SOUTH"", ""C'BURNS"", ""COALBURNS""]",ambiguous,"[561, 562]",[],"[""COALBURNS"", ""ANNFIELD"", ""STELLA SOUTH"", ""C'BURNS""]","[""Stella South""]",Multiple Appendix rows share the same base pair
147907503_147907504,142108100.0,OVERHEAD,66000.0,TEE TO 147907504,RAVENSWORTH (BIRTLEY GROVE 1) - BIRTLEY GROVE TEED,"[""RAVENSWORTH"", ""BIRTLEY GROVE""]","[""RAVENSWORTH"", ""BIRTLEY GROVE""]",ambiguous,"[555, 1687]",[],"[""RAVENSWORTH"", ""BIRTLEY GROVE""]","[""Stella South""]",Multiple Appendix rows share the same base pair
147907504_142084372,142108100.0,UNDERGROUND,66000.0,TEE TO BIRTLEY GROVE,RAVENSWORTH (BIRTLEY GROVE 1) - BIRTLEY GROVE TEED,"[""BIRTLEY GROVE"", ""RAVENSWORTH""]","[""BIRTLEY GROVE"", ""RAVENSWORTH""]",ambiguous,"[555, 1687]",[],"[""RAVENSWORTH"", ""BIRTLEY GROVE""]","[""Stella South""]",Multiple Appendix rows share the same base pair
