S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
ELLAND,SPENBOROUGH T2,33.0,Not given for Yorkshire,11.5,Yy0,2.67,70.33,548.76,-10.0,10.0,30.0,30,Impedance,Yorkshire,Spenborough,Primary,
ELLAND,Sowerby Bridge 33/11kV T2,33.0,Not given for Yorkshire,11.0,Yy0,4.9,71.96,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Sowerby Bridge 33/11kV,Primary,
ELLAND,Sowerby Bridge 132/33kV GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.6,26.7,23.5,-20.0,10.0,90.0,90,Solid,Yorkshire,Sowerby Bridge 132/33kV,BSP,
ELLAND,SNELSINS LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Snelsins Lane,Primary,
ELLAND,SNELSINS LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Snelsins Lane,Primary,
ELLAND,SCHOLES T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.3,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Scholes,Primary,
ELLAND,SALTERHEBBLE T1,33.0,Not given for Yorkshire,11.0,Yy0,3.99,73.4,549.73,-15.0,5.0,24.0,24,Impedance,Yorkshire,Salterhebble,Primary,
ELLAND,PROSPECT ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,96.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Prospect Road,Primary,"53.99407117016039, -1.4985965690572542"
ELLAND,PARK ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.2,65.2,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Park Road,Primary,"53.98532742251223, -1.541754778580193"
ELLAND,OAKES ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.2,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Oakes Road,Primary,
