S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
WINCOBANK,NEW DROPPINGWELL ROAD T1,33.0,Not given for Yorkshire,11.5,Yy0,7.52,96.76,578.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,New Droppingwell Road,Primary,
BLYTH,Cramlington T1,66.0,"Cramlington (T1,T3)",11.5,Dy11,4.27,83.4,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Cramlington T1 T3,Primary,
BLYTH,Warkworth T1,66.0,Warkworth,22.0,Yy0,2.95,56.6,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Warkworth,Primary,
BLYTH,Wansbeck T2,66.0,Wansbeck,11.5,Dy11,3.37,74.6,Not given for Northeast,-15.0,6.0,36.0,18,Solid / Impedance,Northeast,Wansbeck,Primary,
BLYTH,Reservoir T1,66.0,Reservoir,22.0,Yy0,3.64,63.33,Not given for Northeast,-10.5,10.5,30.0,NOT KNOWN,Solid / Impedance,Northeast,Reservoir,Primary,
BLYTH,Linton T2,66.0,Linton,22.0,Yx0,2.96,58.0,Not given for Northeast,-10.5,10.5,24.0,24,Solid / Impedance,Northeast,Linton,Primary,
BLYTH,Linton T1,66.0,Linton,22.0,Yy0,3.31,62.19,Not given for Northeast,-1.55,21.55,25.0,25,Solid / Impedance,Northeast,Linton,Primary,
BLYTH,Linton GT1,132.0,Linton GT1,66.0,Yy0,1.03,29.0,Not given for Northeast,-20.0,10.0,60.0,60,Solid / Impedance,Northeast,Linton,BSP,
BLYTH,Denwick T2,66.0,Denwick,22.0,Yy0,3.47,63.75,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Denwick,Primary,
BLYTH,Benton Square T2,66.0,Benton Square,11.5,Dy11,4.46,82.53,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Benton Square,Primary,
BLYTH,Ashington T2,66.0,Ashington,11.5,Dy11,4.42,81.53,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Ashington,Primary,
BRADFORD WEST,HAWORTH T2,33.0,Not given for Yorkshire,11.5,Yy0,7.57,98.08,578.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,Haworth 2,Primary,
BRADFORD WEST,TOLLER LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,67.5,67.5,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Toller Lane,Primary,
BRADFORD WEST,TOLLER LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.5,66.5,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Toller Lane,Primary,
BRADFORD WEST,SILSDEN GT3,132.0,Not given for Yorkshire,33.0,Yd9,1.3,29.1,25.6,-20.0,10.0,45.0,45,Solid,Yorkshire,Silsden,BSP,
BRADFORD WEST,SHIPLEY T1,33.0,Not given for Yorkshire,11.5,Yy0,3.95,72.83,592.82,-10.0,10.0,24.0,24,Impedance,Yorkshire,Shipley,Primary,
BRADFORD WEST,SALTERFORTH T2,33.0,Not given for Yorkshire,11.0,Yy0,4.37,87.26,623.15,-17.2,5.7,24.0,24,Impedance,Yorkshire,Salterforth,Primary,
BRADFORD WEST,SAINT STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Saint Street,Primary,
BRADFORD WEST,QUEENSBURY T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.33,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Queensbury,Primary,
BRADFORD WEST,QUEENSBURY T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.25,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Queensbury,Primary,
BRADFORD WEST,POOL T2,33.0,Not given for Yorkshire,11.5,Yy0,2.45,87.75,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Pool,Primary,
BRADFORD WEST,MOUNT STREET T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,63.3,63.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Mount Street,Primary,
BRADFORD WEST,MOUNT STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,63.3,63.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Mount Street,Primary,
BRADFORD WEST,MENSTON GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.7,24.9,21.9,-20.0,10.0,90.0,90,Solid,Yorkshire,Menston,BSP,
BRADFORD WEST,LEGRAMS MILL LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.7,64.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Legrams Mill Lane,Primary,
BRADFORD WEST,KIRK DRIVE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,23,Impedance,Yorkshire,Kirk Drive,Primary,
BRADFORD WEST,INGS LANE,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.25,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Ings Lane,Primary,
BRADFORD WEST,IDLE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,62.0,62,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Idle,Primary,
BRADFORD WEST,GIBRALTAR ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Gibraltar Road,Primary,
BRADFORD WEST,GAISBY LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Gaisby Lane,Primary,
BRADFORD WEST,FURNESS AVENUE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,99.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Furness Avenue,Primary,
BRADFORD WEST,DENHOLME,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.08,534.74,-10.0,10.0,12.0,12,Impedance,Yorkshire,Denholme,Primary,
BRADFORD WEST,CRACOE T2,33.0,Not given for Yorkshire,11.0,Yy0,8.0,100.0,100,-15.0,5.0,12.5,NOT KNOWN,Solid,Yorkshire,Cracoe,Primary,
BRADFORD WEST,CRACOE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.92,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Cracoe,Primary,
BRADFORD WEST,CHEVIN END T2,33.0,Not given for Yorkshire,11.5,Yy0,7.56,97.82,578.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,Chevin End,Primary,
BRADFORD WEST,CHEVIN END T1,33.0,Not given for Yorkshire,11.5,Yy0,7.56,97.64,578.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,Chevin End,Primary,
BRADFORD WEST,BRADFORD GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.6,18.6,16.4,-20.0,10.0,90.0,90,Solid,Yorkshire,Bradford,BSP,"55.11239309548243, -1.8940805848675566"
BRADFORD WEST,BOLTON ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,8.0,95.0,95,-15.0,5.0,12.5,12.5,Solid,Yorkshire,Bolton Road,Primary,
BRADFORD WEST,Bingley 132/33kV T2,132.0,Not given for Yorkshire,33.0,Yd9,0.8,25.4,22.3,-20.0,10.0,90.0,90,Solid,Yorkshire,Bingley 132/33kV,BSP,
BRADFORD WEST,BARNOLDSWICK T2,33.0,Not given for Yorkshire,11.0,Yy0,8.0,96.3,96.3,-15.0,5.0,12.5,12.5,Solid,Yorkshire,Barnoldswick,Primary,
BRADFORD WEST,BALME STREET T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.1,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Balme Street,Primary,
CREYKE BECK,SPARK MILL LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Spark Mill Lane,Primary,
CREYKE BECK,SOUTHWOOD ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Southwood Road,Primary,
CREYKE BECK,SEATON T2,66.0,Not given for Yorkshire,11.0,Yy0,4.0,75.8,550,-15.0,5.0,20.0,NOT KNOWN,Impedance,Yorkshire,Seaton,Primary,
CREYKE BECK,SCULCOATES A GT2,132.0,Not given for Yorkshire,11.0,Yd9,4.0,105.7,93,-20.0,10.0,30.0,30,Solid,Yorkshire,Sculcoates A,Primary,
CREYKE BECK,SCULCOATES A GT1,132.0,Not given for Yorkshire,11.0,Yd9,4.0,105.7,93,-20.0,10.0,30.0,30,Solid,Yorkshire,Sculcoates A,Primary,
CREYKE BECK,SANDHILL LANE T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,85.0,85,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Sandhill Lane,Primary,
CREYKE BECK,SALTSHOUSE ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Saltshouse Road,Primary,
CREYKE BECK,PLANGEO T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Plangeo,Primary,
CREYKE BECK,NATIONAL AVENUE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,National Avenue,Primary,
CREYKE BECK,HULL WEST T2,132.0,Not given for Yorkshire,33.0,Yd9,0.65,25.0,22,-20.0,10.0,90.0,90,Solid,Yorkshire,Hull West,BSP,
CREYKE BECK,HULL WEST T1,132.0,Not given for Yorkshire,33.0,Yd9,0.65,25.0,22,-20.0,10.0,90.0,90,Solid,Yorkshire,Hull West,BSP,
CREYKE BECK,HOLME ON SPALDING MOOR,33.0,Not given for Yorkshire,11.0,Yy0,4.0,76.9,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Holme Upon Spalding Moor,Primary,
CREYKE BECK,HOLDERNESS T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,68.0,68,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Holderness,Primary,"54.990373707358565, -1.584672221172893"
CREYKE BECK,HOLDERNESS T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,68.0,68,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Holderness,Primary,"54.990373707358565, -1.584672221172893"
CREYKE BECK,HESSLE ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,99.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Hessle Road 1,Primary,
CREYKE BECK,GIBSON LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Gibson Lane,Primary,
CREYKE BECK,GIBSON LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Gibson Lane,Primary,
CREYKE BECK,ENDIKE LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,67.0,67,-15.0,5.0,23.0,23,Solid,Yorkshire,Endike Lane,Primary,
CREYKE BECK,DRIFFIELD GT1,132.0,Not given for Yorkshire,66.0,Yd9,0.49,6.4,5.9,-20.0,10.0,90.0,90,Solid,Yorkshire,Driffield,BSP,
CREYKE BECK,BRETT STREET T2,66.0,Not given for Yorkshire,11.0,Yy0,3.55,73.2,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Brett Street,Primary,
CREYKE BECK,Beverley 132/33kV G2,132.0,Not given for Yorkshire,33.0,Yd9,0.75,25.2,22.6,-20.0,10.0,90.0,90,Solid,Yorkshire,Beverley 132/33kV,BSP,
DRAX,Osgodby 1/2 T2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,25.0,22,-20.0,10.0,90.0,90,Solid,Yorkshire,Osgodby 1/2,BSP,
DRAX,Osgodby 1/2 T1,132.0,Not given for Yorkshire,33.0,Yd9,0.7,25.0,22,-20.0,10.0,90.0,90,Solid,Yorkshire,Osgodby 1/2,BSP,
DRAX,NEWPORT T2,33.0,Not given for Yorkshire,11.5,Yy0,8.86,85.98,495.86,-10.0,10.0,24.0,24,Impedance,Yorkshire,Newport 1,Primary,
DRAX,SELBY T2,33.0,Not given for Yorkshire,11.5,Yy0,8.29,104.67,583.87,-15.0,5.0,30.0,30,Impedance,Yorkshire,Selby,Primary,
ELLAND,TODMORDEN T2,33.0,Not given for Yorkshire,11.0,Yy0,5.52,73.41,630.58,-10.0,10.0,24.0,24,Impedance,Yorkshire,Todmorden,Primary,
ELLAND,TODMORDEN T1,33.0,Not given for Yorkshire,11.0,Yy0,5.52,73.41,630.58,-10.0,10.0,24.0,24,Impedance,Yorkshire,Todmorden,Primary,
ELLAND,Thornhill 132kV T2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,26.07,19,-20.0,10.0,90.0,90,Solid,Yorkshire,Thornhill 132kV,BSP,
ELLAND,SPENBOROUGH T1,33.0,Not given for Yorkshire,11.5,Yy0,2.73,69.7,548.76,-10.0,10.0,30.0,30,Impedance,Yorkshire,Spenborough,Primary,
ELLAND,Sowerby Bridge 33/11kV T1,33.0,Not given for Yorkshire,11.0,Yy0,4.9,71.96,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Sowerby Bridge 33/11kV,Primary,
ELLAND,Sowerby Bridge 132/33kV GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.6,25.7,22.6,-20.0,10.0,90.0,90,Solid,Yorkshire,Sowerby Bridge 132/33kV,BSP,
ELLAND,SLAITHWAITE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.67,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Slaithwaite,Primary,
ELLAND,SALTERHEBBLE T2,33.0,Not given for Yorkshire,11.0,Yy0,3.97,72.9,549.74,-15.0,5.0,24.0,24,Impedance,Yorkshire,Salterhebble,Primary,
ELLAND,OAKES ROAD T2,33.0,Not given for Yorkshire,11.5,Yy0,2.76,74.54,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Oakes Road,Primary,
ELLAND,MYTHOLMROYD T2,33.0,Not given for Yorkshire,11.0,Yy0,8.0,96.8,96.8,-15.0,5.0,12.5,12.5,Solid,Yorkshire,Mytholmroyd,Primary,
ELLAND,MIRFIELD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,70.83,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Mirfield,Primary,
ELLAND,MILLROYD STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,8.0,96.5,96.5,-15.0,5.0,12.5,12.5,Solid,Yorkshire,Millroyd Street,Primary,
ELLAND,MELTHAM T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,97.1,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Meltham,Primary,
ELLAND,LOWFIELDS T1,33.0,Not given for Yorkshire,11.5,Yy0,4.0,73.67,550,-10.0,10.0,24.0,24,Impedance,Yorkshire,Lowfields,Primary,
ELLAND,LINDLEY GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.7,24.9,22,-20.0,10.0,90.0,90,Solid,Yorkshire,Lindley,BSP,
ELLAND,HORBURY T1,33.0,Not given for Yorkshire,11.5,Yy0,4.28,90.26,822.24,-17.15999984741211,5.42,24.0,24,Impedance,Yorkshire,Horbury,Primary,
ELLAND,HONLEY T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.5,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Honley,Primary,
ELLAND,HEBDEN BRIDGE,33.0,Not given for Yorkshire,11.5,Yy0,6.68,102.1,500,-10.0,10.0,7.5,7.5,Impedance,Yorkshire,Hebden Bridge,Primary,
ELLAND,Halifax 33/11kV T2,33.0,Not given for Yorkshire,11.5,Yy0,5.23,100.0,496,-15.0,5.0,40.0,40,Impedance,Yorkshire,Halifax 33/11kV,Primary,
ELLAND,Halifax 33/11kV T1,33.0,Not given for Yorkshire,11.5,Yy0,5.19,98.6,496,-15.0,5.0,40.0,40,Impedance,Yorkshire,Halifax 33/11kV,Primary,
ELLAND,Halifax 132/33kV GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.8,21.0,19,-20.0,10.0,60.0,60,Solid,Yorkshire,Halifax 132/33kV,BSP,
ELLAND,DEIGHTON T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.6,66.6,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Deighton,Primary,"54.40833067402414, -1.4145471096333448"
ELLAND,CALDER WHARF T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.0,65,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Calder Wharf,Primary,
ELLAND,CALDER WHARF T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.0,65,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Calder Wharf,Primary,
ELLAND,Brighouse 33/11kV T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.0,500,-10.0,10.0,12.0,12,Impedance,Yorkshire,Brighouse 33/11kV,Primary,
ELLAND,Brighouse 132/33kV GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.75,25.3,22.3,-20.0,10.0,90.0,90,Solid,Yorkshire,Brighouse 132/33kV,BSP,
ELLAND,BATLEY T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.0,64,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Batley,Primary,
ELLAND,BAILIFF BRIDGE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.6,550,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Bailiff Bridge,Primary,
FERRYBRIDGE A & CAMBLESFORTH,SOUTH KIRBY T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,80.0,80,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,South Kirkby,Primary,
FERRYBRIDGE A & CAMBLESFORTH,MONCKTON T1,66.0,Not given for Yorkshire,11.0,Yy0,8.0,123.0,123,-15.0,5.0,12.5,NOT KNOWN,Solid,Yorkshire,Monckton,Primary,
FERRYBRIDGE A & CAMBLESFORTH,LEDSTON T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,84.7,84.7,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Ledston,Primary,
FERRYBRIDGE A & CAMBLESFORTH,LEDSTON T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,84.5,84.5,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Ledston,Primary,
FERRYBRIDGE A & CAMBLESFORTH,HEMSWORTH,66.0,Not given for Yorkshire,11.5,Yy0,3.92,83.25,3.12,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Hemsworth,Primary,
FERRYBRIDGE A & CAMBLESFORTH,GOOLE T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,82.4,82.4,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Goole,Primary,
FERRYBRIDGE A & CAMBLESFORTH,EGGBOROUGH,66.0,Not given for Yorkshire,11.5,Yy0,8.0,101.0,101,-10.0,10.0,7.5,7.5,Solid,Yorkshire,Eggborough,Primary,
FERRYBRIDGE A & CAMBLESFORTH,Drax Primary,66.0,Not given for Yorkshire,11.0,Yy0,8.0,101.0,101,-10.0,10.0,7.5,7.5,Solid,Yorkshire,Drax Primary,Primary,
FERRYBRIDGE B,WELLINGTON STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,97.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Wellington Street,Primary,"54.96513229497093, -1.6061963814261269"
FERRYBRIDGE B,SMITH STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,99.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Smith Street,Primary,
FERRYBRIDGE B,SLEDMERE GARTH T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.4,64.6,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Sledmere Garth,Primary,
FERRYBRIDGE B,SHERBURN T1,33.0,Not given for Yorkshire,11.5,Yy0,3.9,78.44,78.44,-10.0,10.0,25.0,25,Solid,Yorkshire,Sherburn,Primary,
FERRYBRIDGE B,ROMAN AVENUE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.3,65.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Roman Avenue,Primary,"54.974434845175736, -1.5602184160599213"
FERRYBRIDGE B,PRINCE OF WALES T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,92.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Prince Of Wales,Primary,"54.27462621079031, -0.3988120001375804"
FERRYBRIDGE B,PREMIER WAY NORTH NO 2,33.0,Not given for Yorkshire,11.0,Yy0,2.19,99.62,578.51,-15.0,5.0,40.0,NOT KNOWN,Impedance,Yorkshire,Premier Way North No 2,Primary,
FERRYBRIDGE B,POLLINGTON,33.0,Not given for Yorkshire,11.0,Yy0,3.65,96.69,578.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,Pollington,Primary,
FERRYBRIDGE B,OAKWOOD LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.0,65,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Oakwood Lane,Primary,
FERRYBRIDGE B,OAKWOOD LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.3,65.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Oakwood Lane,Primary,
FERRYBRIDGE B,NORMANTON T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,97.8,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Normanton,Primary,
FERRYBRIDGE B,NINELANDS LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,96.3,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Ninelands Lane,Primary,
FERRYBRIDGE B,FENTON LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,95.7,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Fenton Lane,Primary,
FERRYBRIDGE B,DUNKESWICK,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.08,500,-10.0,10.0,12.0,12,Impedance,Yorkshire,Dunkeswick,Primary,
FERRYBRIDGE B,CARR LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,68.8,68.8,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Carr Lane,Primary,
FERRYBRIDGE B,BRAMHAM GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,25.1,22.1,-20.0,10.0,90.0,90,Solid,Yorkshire,Bramham,BSP,
FERRYBRIDGE B,BEAL T2,33.0,Not given for Yorkshire,11.5,Yy0,7.99,97.27,578.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,Beal,Primary,
FERRYBRIDGE B,BARWICK T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,93.8,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Barwick,Primary,
FERRYBRIDGE B,BARWICK T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,93.9,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Barwick,Primary,
HARTMOOR,Wynyard T1,66.0,Wynyard,11.5,Dy11,2.55,79.63,Not given for Northeast,-15.0,6.0,40.0,40,Solid / Impedance,Northeast,Wynyard,Primary,
HARTMOOR,Hartmoor Red,66.0,Hartmoor,22.0,Yy0,3.07,58.0,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Hartmoor,Primary,
HARTMOOR,Brenda Trading T2,66.0,Brenda Trading,11.5,Dy11,4.22,79.7,Not given for Northeast,-15.0,6.0,32.0,NOT KNOWN,Solid / Impedance,Northeast,Brenda Trading,Primary,
HARTMOOR,Amberton Road T1,66.0,Amberton Road,11.5,Dy11,4.54,100.45,Not given for Northeast,-15.0,6.0,40.0,40,Solid / Impedance,Northeast,Amberton Road,Primary,
HAWTHORN PIT,Stoney Cut T2,66.0,Stoney Cut,22.0,Yy0,3.51,63.75,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Stoney Cut,Primary,
HAWTHORN PIT,Shotton T2,66.0,Shotton,11.5,Dy11,4.77,100.75,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Shotton,Primary,
HAWTHORN PIT,Shotton T1,66.0,Shotton,11.5,Dy11,4.78,100.0,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Shotton,Primary,
HAWTHORN PIT,Peterlee Industrial T2,66.0,Peterlee Industrial,11.5,Dy11,4.01,62.51,Not given for Northeast,-15.0,6.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Peterlee Industrial,Primary,
HAWTHORN PIT,Peterlee Industrial T1,66.0,Peterlee Industrial,11.5,Dy11,2.74,59.46,Not given for Northeast,-15.0,6.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Peterlee Industrial,Primary,
HAWTHORN PIT,Houghton Green,66.0,Houghton,11.5,Dy11,3.08,57.46,Not given for Northeast,-10.5,10.5,24.0,12,Solid / Impedance,Northeast,Houghton,Primary,
HAWTHORN PIT,Hawthorn Pit T2,66.0,Hawthorn Pit,22.0,Yy0,3.82,95.5,Not given for Northeast,-15.0,6.0,25.0,25,Solid / Impedance,Northeast,Hawthorn Pit,Primary,
HAWTHORN PIT,Hawthorn Pit T1,66.0,Hawthorn Pit,22.0,Yy0,3.85,95.5,Not given for Northeast,-15.0,6.0,25.0,25,Solid / Impedance,Northeast,Hawthorn Pit,Primary,
JORDANTHORPE,WOODSEATS T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.1,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Woodseats,Primary,
JORDANTHORPE,GREENHILL T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.8,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Greenhill,Primary,"55.59826787105592, -1.6911964956335779"
JORDANTHORPE,DRONFIELD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.1,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Dronfield,Primary,
JORDANTHORPE,BASLOW ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,75.8,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Baslow Road,Primary,
KEADBY & GRIMSBY WEST,WOLD NEWTON GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.84,26.85,24.44,-20.0,10.0,90.0,90,Solid,Yorkshire,Wold Newton,BSP,
KEADBY & GRIMSBY WEST,STOW T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.75,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Stow,Primary,
KEADBY & GRIMSBY WEST,STATION ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,3.86,115.93,908.57,-17.2,5.7,30.0,30,Impedance,Yorkshire,Station Road,Primary,"55.18329257075272, -1.5733613936675177"
