GSP,S/S or Busbar Name Node 1,S/S or Busbar Name Node 2,Operating Voltage (kV),Positive Sequence Impedance R % on (100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Susceptance B (% on 100 MVA Base),Rating Information (MVA),Circuit Length (km),Licence Area
Skelton Grange,HECK-SARO-WAKB-TEE2,HECK-WAKB-STGA-TEE,132.0,0.171000004,0.596000016,0.214000002,130.54813346808143,4.261306152,Yorkshire
Skelton Grange,HECK-SARO-WAKB-TEE2,WAKEFIELD B MAIN2,132.0,1.587,3.523,0.8,114.54398400614498,15.7934,Yorkshire
Skelton Grange,HECK-WAKB-STGA-TEE,HECKMONDWIKE T2,132.0,0.130999997,0.254000008,2.480999947,103.56971008938858,1.354266357,Yorkshire
Skelton Grange,KENMORE ROAD T1,OUTWOOD T1,33.0,0.566999972,0.698000014,0.133000001,28.578838324886473,0.6966100464,Yorkshire
Skelton Grange,KNOSTROP T2,LEEDS EAST T4,33.0,3.166,3.473,0.361,27.435684791891013,3.5698002929999997,Yorkshire
Skelton Grange,LEEDS EAST T3,BURMANTOFTS T1,33.0,0.587355256,1.51508069,0.058854602,40.58195042133879,1.701,Yorkshire
Skelton Grange,LEEDS EAST T3,SKELTON GRANGE B SGT1,132.0,0.092,0.387,19.759,149.75311282240511,3.341300049,Yorkshire
Skelton Grange,LEEDS EAST T4 TEE,LEEDS EAST T4,132.0,0.003,0.013,0.704,138.09294678585144,0.116,Yorkshire
Skelton Grange,LEEDS NORTH T1,BUSLINGTHORPE GREEN T1,33.0,0.079,0.155,0.0,32.06545660052262,0.154,Yorkshire
Skelton Grange,LEEDS NORTH T1,LEEDS EAST T4 TEE,132.0,0.16267769,0.190309286,13.19580746,112.94356905995134,3.119300049,Yorkshire
Skelton Grange,LEEDS NORTH T2,BUSLINGTHORPE GREEN T2,33.0,0.075776003,0.148591995,0.0,32.06545660052262,0.148,Yorkshire
Skelton Grange,LEYLANDS ROAD T2,CARLTON HILL T2,33.0,1.037999988,1.97300005,0.379000008,25.149377725900095,1.498053711,Yorkshire
Skelton Grange,LIVERSEDGE T1,HECKMONDWIKE T1,33.0,1.228,0.976,0.88,21.719917126913717,1.047873535,Yorkshire
Skelton Grange,LOW MOOR T2,STAYGATE T2,33.0,2.084,3.478,0.384,25.149377725900095,1.767810425,Yorkshire
Jordanthorpe,LOW ROAD T3,PONTEFRACT LANE T3,33.0,1.607,2.528,0.0,20.576763593918262,2.556,Yorkshire
Skelton Grange,MENS-RAWD-RODL-TEE2,RAWDON T2,33.0,1.722,3.095,0.0,23.14885904315804,1.0763000489999999,Yorkshire
Skelton Grange,NEWMARKET APPROACH GENERATION,LEEDS EAST T4,33.0,2.438,2.569,0.401,30,2.5761999999999996,Yorkshire
Skelton Grange,ODSAL T2,STAYGATE T2,33.0,1.129,0.859,0.309,21.719917126913717,1.164661133,Yorkshire
Skelton Grange,OUTWOOD T1,WAKEFIELD NORTH T1,33.0,1.827999949,1.621000051,0.620999992,26.464004288844876,2.16105835,Yorkshire
Skelton Grange,PONTEFRACT LANE T1,LEEDS EAST T3,33.0,1.863,1.974,0.0,21.09118268376622,2.187075928,Yorkshire
Skelton Grange,RODLEY LANE T2,RODLEY T2,33.0,0.082,0.093,0.01,21.719917126913717,0.4347734375,Yorkshire
Skelton Grange,RODLEY T1,RODLEY-KIRKSTALLB-TEE,132.0,0.35,0.68,4.39,130.54813346808143,5.288273926,Yorkshire
