transformer_index,transformer_group,candidate_name,candidate_key,transformer_substation,primary_voltage_kv,secondary_voltage_kv,rating_mva,site_asset_number,site_name
233,OSBALDWICK,Skeldergate T2,SKELDERGATE T2,Skeldergate,33.0,11.5,32.0,SITE-00232839,SKELDERGATE
234,OSBALDWICK,Sheriff Hutton T1,HUTTON SHERIFF T1,Sheriff Hutton,66.0,11.5,18.75,SITE-00238434,SHERIFF HUTTON
235,OSBALDWICK,Severus Hill T2,HILL SEVERUS T2,Severus Hill,33.0,11.5,24.0,SITE-00232838,SEVERUS HILL
236,OSBALDWICK,Scarborough Grid GT2,GRID GT2 SCARBOROUGH,Scarborough Grid,132.0,33.0,120.0,SITE-00233866,SCARBOROUGH
237,OSBALDWICK,Scarborough Grid GT1,GRID GT1 SCARBOROUGH,Scarborough Grid,132.0,33.0,120.0,SITE-00233866,SCARBOROUGH
238,OSBALDWICK,Rawcliffe Lane T2,LANE RAWCLIFFE T2,Rawcliffe Lane,33.0,11.5,18.75,SITE-00232837,RAWCLIFFE LANE
239,OSBALDWICK,North Street T1,NORTH STREET T1,North Street,33.0,11.5,24.0,SITE-00233865,NORTH STREET
240,PITSMOOR,Stanley Street,STANLEY STREET,Stanley Street,33.0,11.0,24.0,SITE-00266655,STANLEY STREET 195
241,PITSMOOR,Bellhouse Road,BELLHOUSE ROAD,Bellhouse Road,33.0,11.0,23.0,SITE-00271712,BELLHOUSE ROAD 3569
242,SALTEND NORTH,Westcott Street,STREET WESTCOTT,Westcott Street,33.0,11.0,23.0,SITE-00266672,WESTCOTT STREET 5631
243,SALTEND NORTH,Hedon Road,HEDON ROAD,Hedon Road,33.0,11.0,23.0,SITE-00272307,HEDON ROAD 5498
244,SALTEND NORTH,Easington,EASINGTON,Easington,33.0,11.0,24.0,SITE-00266638,EASINGTON 8354
245,SALTEND NORTH,Easington,EASINGTON,Easington,33.0,11.0,24.0,SITE-00266638,EASINGTON 8354
246,SALTHOLME,North Bank GT1,BANK GT1 NORTH,North Bank,132.0,11.0,60.0,SITE-00305250,NORTH BANK
247,SHEFFIELD CITY,Mansfield Road 1,1 MANSFIELD ROAD,Mansfield Road 1,33.0,11.0,24.0,SITE-00266678,MANSFIELD ROAD 3059
250,SHEFFIELD CITY,Victoria Street,STREET VICTORIA,Victoria Street,33.0,11.0,24.0,SITE-00266177,VICTORIA STREET 630
251,SHEFFIELD CITY,Arundel Street,ARUNDEL STREET,Arundel Street,33.0,11.0,24.0,SITE-00266910,ARUNDEL STREET 2567
252,SKELTON GRANGE,York Road,ROAD YORK,York Road,33.0,11.0,18.75,SITE-00266791,YORK ROAD 1962
253,SKELTON GRANGE,Yew Green Road,GREEN ROAD YEW,Yew Green Road,33.0,11.0,24.0,SITE-00273387,YEW GREEN ROAD 25
254,SKELTON GRANGE,Yew Green Road,GREEN ROAD YEW,Yew Green Road,33.0,11.0,24.0,SITE-00273387,YEW GREEN ROAD 25
255,SKELTON GRANGE,Wibsey,WIBSEY,Wibsey,33.0,11.0,18.75,SITE-00272406,WIBSEY 861
256,SKELTON GRANGE,Varley Street,STREET VARLEY,Varley Street,33.0,11.0,18.75,SITE-00272222,VARLEY STREET 879
257,SKELTON GRANGE,Tong Street,STREET TONG,Tong Street,33.0,11.0,18.75,SITE-00271212,TONG STREET 758
258,SKELTON GRANGE,Tong Street,STREET TONG,Tong Street,33.0,11.0,18.75,SITE-00271212,TONG STREET 758
259,SKELTON GRANGE,Swinnow Moor,MOOR SWINNOW,Swinnow Moor,33.0,11.0,18.75,SITE-00266883,SWINNOW MOOR 779
260,SKELTON GRANGE,Sweet Street,STREET SWEET,Sweet Street,33.0,11.5,30.0,SITE-00266544,SWEET STREET 46829
261,SKELTON GRANGE,Spring Mill Street,MILL SPRING STREET,Spring Mill Street,33.0,11.0,23.0,SITE-00266951,SPRING MILL STREET 574
262,SKELTON GRANGE,Selby Road,ROAD SELBY,Selby Road,33.0,11.0,18.75,SITE-00266949,SELBY ROAD 3293
263,SKELTON GRANGE,Selby Road,ROAD SELBY,Selby Road,33.0,11.0,18.75,SITE-00266949,SELBY ROAD 3293
264,SKELTON GRANGE,Royds Lane,LANE ROYDS,Royds Lane,33.0,11.0,23.0,SITE-00268063,ROYDS LANE 3932
265,SKELTON GRANGE,Rawdon,RAWDON,Rawdon,33.0,11.0,18.75,SITE-00266078,RAWDON 5191
266,SKELTON GRANGE,Rawdon,RAWDON,Rawdon,33.0,11.0,18.75,SITE-00266078,RAWDON 5191
268,SKELTON GRANGE,Odsal,ODSAL,Odsal,33.0,11.0,23.0,SITE-00266168,ODSAL 21
269,SKELTON GRANGE,Moor Road,MOOR ROAD,Moor Road,33.0,11.0,18.75,SITE-00271711,MOOR ROAD 357
270,SKELTON GRANGE,Milton Place,MILTON PLACE,Milton Place,33.0,11.0,18.75,SITE-00266956,MILTON PLACE 6049
271,SKELTON GRANGE,Low Road,LOW ROAD,Low Road,132.0,33.0,120.0,SITE-00270931,LOW ROAD 132/33KV 999
272,SKELTON GRANGE,Liversedge,LIVERSEDGE,Liversedge,33.0,11.0,18.75,SITE-00266184,LIVERSEDGE 14
273,SKELTON GRANGE,Leylands Road,LEYLANDS ROAD,Leylands Road,33.0,11.0,23.0,SITE-00271422,LEYLANDS ROAD 4151
274,SKELTON GRANGE,Leeds East,EAST LEEDS,Leeds East,132.0,33.0,90.0,SITE-00270924,LEEDS EAST 2748
275,SKELTON GRANGE,Leeds East,EAST LEEDS,Leeds East,132.0,33.0,90.0,SITE-00270924,LEEDS EAST 2748
276,SKELTON GRANGE,Knostrop,KNOSTROP,Knostrop,33.0,11.5,12.0,SITE-00268059,KNOSTROP 8202
277,SKELTON GRANGE,Knostrop,KNOSTROP,Knostrop,33.0,11.5,12.0,SITE-00268059,KNOSTROP 8202
278,SKELTON GRANGE,Kenmore Road,KENMORE ROAD,Kenmore Road,33.0,11.0,24.0,SITE-00266167,KENMORE ROAD 7462
279,SKELTON GRANGE,Holbeck,HOLBECK,Holbeck,33.0,11.0,23.0,SITE-00271421,HOLBECK 998
280,SKELTON GRANGE,Holbeck,HOLBECK,Holbeck,33.0,11.0,23.0,SITE-00271421,HOLBECK 998
281,SKELTON GRANGE,Heckmondwike,HECKMONDWIKE,Heckmondwike,132.0,33.0,90.0,SITE-00266876,HECKMONDWIKE 11
282,SKELTON GRANGE,Heckmondwike,HECKMONDWIKE,Heckmondwike,132.0,33.0,90.0,SITE-00266876,HECKMONDWIKE 11
